ISO3,Country,BCP sequestration in EEZ (GtC/year),Area.EEZ (km2),Carbon/area (tC/km2),BCP sequestration in MPA (GtC),Area.MPA (km2),Present value of BCP sequestration to 2050 (US$),Present value of BCP sequestration to 2030 (US$),GDP (US$),Annual value of BCP sequestration in EEZ (US$),gdp.ratio,gdp.percentage,Region,Income.group,Lending,Other,Continent,Sovereign.ISO,Territory,Name,Sovereign2,Sovereign3,Territory.ISO,SIDS
DEU,Germany,0.00000012,"56,763",0,2.76E-08,27778.8,"822,055","256,935",4.07E+12,"39,700 USD",9.75E-09,0,Europe & Central Asia,High,None,None,Europe,,,,,,,
GHA,Ghana,0.003,"227,500",14.47351834,,,"22,500,102,502","7,032,461,542",72838798788,"1,086,599,389 USD",0.014917865,1.49,Sub-Saharan Africa,Lower middle,IDA,HIPC,Africa,GHA,Ghana,Ghanaian Exclusive Economic Zone,,,GHA,
GRC,Greece,0.010113005,"482,910",20.94179991,0.000417437,22449.06,"69,104,954,366","21,598,920,890",2.19E+11,"3,337,291,516 USD",0.015234183,1.52,Europe & Central Asia,High,None,None,Europe,,,,,,,
GRD,Grenada,0.000138794,"25,571",5.427775604,0.00000137,216.95,"948,415,355","296,429,517",1256413185,"45,801,904 USD",0.036454492,3.65,Latin America & Caribbean,Upper middle,Blend,None,Americas,,,,,,,1
GTM,Guatemala,0.002857422,"110,695",25.81347356,,,"19,525,557,077","6,102,760,164",95003333381,"942,949,411 USD",0.009925435,0.99,Latin America & Caribbean,Upper middle,IBRD,None,Americas,GTM,Guatemala,Guatemalan Exclusive Economic Zone,,,GTM,
GIN,Guinea,0.001,"102,163",7.438948523,0.00000117,389.3,"5,193,189,505","1,623,143,960",21227749389,"250,795,148 USD",0.011814495,1.18,Sub-Saharan Africa,Low,IDA,HIPC,Africa,,,,,,,
GNB,Guinea-Bissau,0.001,"106,870",8.312347005,0.0000149,10444.8,"6,070,276,229","1,897,279,540",1633559092,"293,152,373 USD",0.17945624,18,Sub-Saharan Africa,Low,IDA,HIPC,Africa,,,,,,,1
GUY,Guyana,0.000583893,"135,060",4.32,,,"3,989,902,042","1,247,053,548",15357537068,"192,684,683 USD",0.012546588,1.25,Latin America & Caribbean,Upper middle,IDA,HIPC,Americas,GUY,Guyana,Guyanese Exclusive Economic Zone,,,GUY,1
HTI,Haiti,0.000221002,"103,485",2.14,0.0000036,1295,"1,510,167,246","472,006,431",20253551885,"72,930,637 USD",0.003600881,0.36,Latin America & Caribbean,Lower middle,IDA,HIPC,Americas,,,,,,,1
HND,Honduras,0.000591886,"208,636",2.84,0.0000265,9686.9,"4,044,523,325","1,264,125,563",31717700115,"195,322,514 USD",0.006158155,0.62,Latin America & Caribbean,Lower middle,IDA,HIPC,Americas,,,,,,,
