run,dmgfuncpar,climate,SSP,RCP,prtp,eta,dr,gscc,n_iso3,scenario_id,discount_id,log_gscc,draw,systematic_centered,log_gscc_adj,gscc_adj,fitted_log,residual
bhm_richpoor_lr,bootstrap,uncertain,SSP2,rcp60,,,5.0,215.02633632219224,169,ssp2_rcp60,fixed_dr5p0,5.370760515147646,8389,-0.6476348296581766,6.018395344805823,410.9186836025313,5.860257523159924,-0.489497008012278
djo_richpoor,estimates,uncertain,SSP5,rcp60,1.0,0p7,,728.3231379180572,169,ssp5_rcp60,ramsey_prtp1p0_eta0p7,6.590744820481761,8390,0.3545614213834203,6.236183399098341,510.90486520206053,6.862453774201521,-0.27170895371976034
bhm_richpoor_sr,bootstrap,uncertain,SSP2,rcp45,1.0,0p7,,714.1895115254937,169,ssp2_rcp45,ramsey_prtp1p0_eta0p7,6.571148349425929,8391,0.24017775544368997,6.330970593982239,561.7015134711507,6.748070108261791,-0.1769217588358618
bhm_sr,estimates,uncertain,SSP5,rcp60,1.0,0p7,,1105.2892648332545,169,ssp5_rcp60,ramsey_prtp1p0_eta0p7,7.007862357823579,8392,0.5990402118465431,6.408822145977036,607.1780925558315,7.106932564664644,-0.09907020684106538
bhm_lr,estimates,expected,SSP2,rcp45,2.0,1p5,,774.8390739515364,169,ssp2_rcp45,ramsey_prtp2p0_eta1p5,6.652655361277678,8393,0.021201488828660242,6.631453872449018,758.5842540505536,6.529093841646761,0.12356151963091744
bhm_lr,bootstrap,uncertain,SSP5,rcp45,,,3.0,1453.5520506826795,169,ssp5_rcp45,fixed_dr3p0,7.281765529940945,8394,0.2566836790003196,7.025081850940626,1124.4865955240355,6.764576031818421,0.5171894981225247
bhm_sr,estimates,uncertain,SSP1,rcp60,,,5.0,223.25382022657078,169,ssp1_rcp60,fixed_dr5p0,5.408309331487339,8395,-0.6694816793078705,6.07779101079521,436.06486743149384,5.83841067351023,-0.4301013420228914
bhm_richpoor_sr,estimates,uncertain,SSP4,rcp60,2.0,0p7,,281.3478872694627,169,ssp4_rcp60,ramsey_prtp2p0_eta0p7,5.639591936590254,8396,-0.4011231418708894,6.040715078461143,420.19339873096504,6.106769210947212,-0.467177274356958
bhm_lr,estimates,uncertain,SSP3,rcp45,2.0,1p5,,951.9869882943964,169,ssp3_rcp45,ramsey_prtp2p0_eta1p5,6.858551366939974,8397,-0.026577047356605266,6.885128414296579,977.6272029580246,6.481315305461496,0.3772360614784782
bhm_sr,estimates,uncertain,SSP2,rcp60,2.0,0p7,,559.2563809021781,169,ssp2_rcp60,ramsey_prtp2p0_eta0p7,6.326608010054238,8398,0.10055554228942803,6.226052467764809,505.7550533360954,6.608447895107529,-0.2818398850532917
bhm_lr,bootstrap,uncertain,SSP5,rcp60,,,5.0,550.5922701466252,169,ssp5_rcp60,fixed_dr5p0,6.31099455364633,8399,-0.4842663616327595,6.795260915279089,893.6023837027132,6.023625991185342,0.28736856246098785
bhm_richpoor_sr,estimates,uncertain,SSP5,rcp45,,,3.0,614.5972088559707,169,ssp5_rcp45,fixed_dr3p0,6.4209671082867406,8400,-0.3761340958154834,6.797101204102224,895.2483842754589,6.131758257002618,0.28920885128412266
bhm_richpoor_lr,bootstrap,expected,SSP1,rcp60,,,3.0,728.5972724788196,169,ssp1_rcp60,fixed_dr3p0,6.591121141057739,8401,0.07438204283481736,6.516739098222922,676.3692117833897,6.582274395652918,0.008846745404820666
bhm_lr,bootstrap,uncertain,SSP3,rcp45,1.0,0p7,,2090.2579060601647,169,ssp3_rcp45,ramsey_prtp1p0_eta0p7,7.645042737374486,8402,0.8283315085921479,6.816711228782339,912.9774931724871,7.336223861410248,0.3088188759642376
bhm_sr,bootstrap,uncertain,SSP5,rcp45,,,5.0,288.7931649663319,169,ssp5_rcp45,fixed_dr5p0,5.665710739724517,8403,-0.5290647417058779,6.194775481430395,490.1813778206223,5.978827611112223,-0.31311687138770594
bhm_sr,estimates,expected,SSP3,rcp60,,,5.0,125.6267504352394,169,ssp3_rcp60,fixed_dr5p0,4.833315212529117,8404,-0.5805737232613933,5.41388893579051,224.5029698421845,5.927318629556708,-1.094003417027591
bhm_lr,bootstrap,uncertain,SSP5,rcp85,,,3.0,1090.9720456070547,169,ssp5_rcp85,fixed_dr3p0,6.9948243627798306,8405,0.29274820484010766,6.702076157939723,814.0942600940405,6.800640557658209,0.1941838051216216
bhm_lr,bootstrap,uncertain,SSP4,rcp85,2.0,1p5,,897.4323714202361,169,ssp4_rcp85,ramsey_prtp2p0_eta1p5,6.799537765345306,8406,-0.019328090558681177,6.818865855903987,914.9467399751778,6.48856426225942,0.31097350308588645
bhm_richpoor_sr,estimates,expected,SSP4,rcp85,1.0,1p5,,1092.347054518917,169,ssp4_rcp85,ramsey_prtp1p0_eta1p5,6.996083921305718,8407,-0.0572031557114,7.053287077017118,1156.654513338116,6.450689197106701,0.5453947241990171
